epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1623.33,0.64534,0.49592,1.03867,0.97559,0.80479,0.8592,0.84343,0.45612,1.84945,0.7864,0.0004754,0.0004754,0.0004754
79,1644.26,0.63687,0.49386,1.03526,0.96075,0.80537,0.85144,0.83653,0.37994,1.67749,0.74632,0.0004556,0.0004556,0.0004556
80,1665.1,0.63602,0.48799,1.0338,0.97614,0.79866,0.85434,0.84068,0.43407,1.85939,0.79488,0.0004358,0.0004358,0.0004358
81,1685.82,0.64461,0.49263,1.03827,0.97485,0.78039,0.86467,0.85054,0.38824,2.01307,0.75166,0.000416,0.000416,0.000416
82,1706.61,0.63338,0.48185,1.03078,0.96621,0.81208,0.86263,0.8462,0.37007,1.78453,0.75487,0.0003962,0.0003962,0.0003962
83,1727.29,0.62739,0.48068,1.02334,0.96527,0.81208,0.85729,0.84511,0.38586,1.68138,0.75719,0.0003764,0.0003764,0.0003764
84,1748.14,0.62846,0.4786,1.02419,0.9662,0.81208,0.86015,0.84444,0.40079,1.73788,0.78751,0.0003566,0.0003566,0.0003566
85,1768.95,0.62593,0.47771,1.02474,0.96541,0.81208,0.86075,0.84343,0.43843,1.757,0.78463,0.0003368,0.0003368,0.0003368
86,1789.75,0.63086,0.47999,1.03455,0.96605,0.81208,0.8632,0.84704,0.40706,1.77871,0.76199,0.000317,0.000317,0.000317
87,1810.63,0.61926,0.48698,1.02389,0.9662,0.81208,0.85844,0.84513,0.36124,1.88973,0.75758,0.0002972,0.0002972,0.0002972
88,1831.37,0.62404,0.47826,1.02752,0.96697,0.81208,0.86052,0.84556,0.41201,1.736,0.78139,0.0002774,0.0002774,0.0002774
89,1852.12,0.62089,0.47856,1.02783,0.96503,0.81208,0.86337,0.85004,0.38913,1.71849,0.76057,0.0002576,0.0002576,0.0002576
90,1872.87,0.61032,0.47056,1.02257,0.9673,0.81208,0.86296,0.85001,0.4026,1.80118,0.77278,0.0002378,0.0002378,0.0002378
91,1893.87,0.57375,0.46463,1.00803,0.96378,0.81208,0.86381,0.84585,0.39482,1.73315,0.77231,0.000218,0.000218,0.000218
92,1913.98,0.57232,0.45671,1.00348,0.96381,0.81208,0.86231,0.84571,0.40619,1.8378,0.79658,0.0001982,0.0001982,0.0001982
93,1934.02,0.56418,0.45285,1.00176,0.96545,0.81208,0.86399,0.85169,0.38489,1.70297,0.77152,0.0001784,0.0001784,0.0001784
94,1954.14,0.56951,0.44936,1.00131,0.96795,0.81208,0.86175,0.84924,0.3432,1.62178,0.7228,0.0001586,0.0001586,0.0001586
95,1974.34,0.55522,0.43599,0.99633,0.982,0.80537,0.85978,0.84836,0.3319,1.6202,0.71788,0.0001388,0.0001388,0.0001388
96,1994.39,0.5492,0.439,0.98833,0.96618,0.81208,0.8635,0.85016,0.34026,1.65017,0.72157,0.000119,0.000119,0.000119
97,2014.4,0.55215,0.4408,0.99303,0.97578,0.81103,0.86314,0.84993,0.37172,1.69877,0.75258,9.92e-05,9.92e-05,9.92e-05
98,2034.49,0.55459,0.45226,0.9947,0.96755,0.81208,0.86147,0.85062,0.35291,1.62197,0.73751,7.94e-05,7.94e-05,7.94e-05
99,2054.54,0.54315,0.44428,0.98723,0.96816,0.80537,0.86141,0.8506,0.35515,1.71029,0.73494,5.96e-05,5.96e-05,5.96e-05
100,2074.61,0.55102,0.43003,0.99557,0.96537,0.81208,0.86241,0.8492,0.34542,1.72125,0.737,3.98e-05,3.98e-05,3.98e-05
