epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,390.726,0.49133,0.92533,0.34896,0.86775,0,0.97077,0.98475,0.99122,0.91063,0.96743,0.98136,0.99019,0.84787,0.40961,0.79771,0.25857,0.81414,0,0.0009308,0.0009308,0.0009308
56,397.736,0.48546,0.90263,0.3567,0.8662,0,0.97006,0.98845,0.99151,0.9126,0.9684,0.98676,0.99108,0.85006,0.41526,0.79893,0.25636,0.81713,0,0.000911,0.000911,0.000911
57,404.776,0.46985,0.88847,0.34453,0.863,0,0.96544,0.99442,0.99043,0.91424,0.96215,0.99109,0.98978,0.85005,0.40721,0.78481,0.25829,0.81275,0,0.0008912,0.0008912,0.0008912
58,411.798,0.48476,0.90938,0.35619,0.86622,0,0.96828,0.98475,0.9901,0.91672,0.96495,0.98136,0.98851,0.86112,0.40938,0.80015,0.26173,0.81353,0,0.0008714,0.0008714,0.0008714
59,418.822,0.47998,0.88667,0.35114,0.86487,0,0.96981,0.97997,0.99023,0.91406,0.96981,0.97997,0.99023,0.85916,0.40688,0.78182,0.25891,0.81323,0,0.0008516,0.0008516,0.0008516
60,425.856,0.47604,0.89491,0.34063,0.86134,0,0.97857,0.97797,0.9896,0.90949,0.97348,0.97288,0.98856,0.84963,0.40927,0.79639,0.24948,0.81232,0,0.0008318,0.0008318,0.0008318
61,433.04,0.46305,0.86779,0.32901,0.8572,0,0.97923,0.98475,0.98921,0.91744,0.97755,0.98305,0.98879,0.85262,0.39561,0.79273,0.247,0.81045,0,0.000812,0.000812,0.000812
62,440.144,0.46323,0.858,0.33658,0.85932,0,0.98077,0.97288,0.98908,0.91518,0.97907,0.97119,0.98881,0.85207,0.40031,0.78534,0.2537,0.81099,0,0.0007922,0.0007922,0.0007922
63,447.283,0.46703,0.82961,0.33182,0.8634,0,0.98283,0.97029,0.99027,0.91446,0.9794,0.9669,0.98919,0.85387,0.39592,0.78311,0.25303,0.80853,0,0.0007724,0.0007724,0.0007724
64,454.602,0.47287,0.84984,0.33117,0.85853,0,0.98297,0.97843,0.99151,0.92001,0.97957,0.97504,0.99082,0.85692,0.38997,0.77244,0.24122,0.80729,0,0.0007526,0.0007526,0.0007526
